provincia,departamento,Casos_2020,Casos_2019,Casos_2018,Casos_2017,Casos_2016,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020
Buenos Aires,25 de Mayo,0,0,0,2,4,36718,36808,36897,36985,37071
Buenos Aires,9 de Julio,0,0,0,0,1,48539,48601,48661,48721,48780
Buenos Aires,Almirante Brown,0,0,0,0,0,582541,586564,590418,594270,597969
Buenos Aires,San Antonio de Areco,2,0,0,0,0,24501,24693,24882,25068,25251
Buenos Aires,Avellaneda,0,0,0,0,0,352246,353273,354314,355352,356392
Buenos Aires,Azul,2,0,0,0,0,66965,67144,67321,67495,67667
Buenos Aires,Bahía Blanca,4,0,0,0,0,307836,308413,308982,309544,310095
Buenos Aires,Balcarce,0,0,0,0,1,45116,45262,45408,45551,45691
Buenos Aires,Baradero,4,0,0,0,0,35045,35375,35701,36022,36338
Buenos Aires,Berazategui,0,0,0,0,0,350578,354447,358262,362021,365771
Buenos Aires,Berisso,26,0,0,1,3,93773,94522,95259,95987,96701
Buenos Aires,Bolívar,1,0,0,0,0,35393,35540,35684,35828,35969
Buenos Aires,Bragado,3,0,0,0,0,41978,42020,42062,42103,42144
Buenos Aires,Brandsen,1,0,0,0,0,29279,29725,30164,30597,31023
Buenos Aires,Campana,5,0,0,0,0,101518,102549,103565,104566,105552
Buenos Aires,Cañuelas,2,0,0,0,0,58752,59817,60867,61903,62921
Buenos Aires,Carmen de Areco,2,0,0,0,0,15271,15345,15418,15489,15560
Buenos Aires,Castelli,0,0,0,0,1,8517,8556,8595,8633,8671
Buenos Aires,Chacabuco,2,0,0,0,0,51263,51615,51962,52304,52640
Buenos Aires,Chascomús,0,0,0,0,2,45140,45552,45958,46359,46754
Buenos Aires,Chivilcoy,2,0,0,0,0,66976,67343,67705,68062,68412
Buenos Aires,Colón,1,0,0,0,0,26305,26503,26697,26889,27078
Buenos Aires,Coronel Suárez,1,0,0,0,0,39673,39838,40001,40162,40320
Buenos Aires,Daireaux,2,0,0,0,0,17747,17863,17979,18093,18204
Buenos Aires,Dolores,1,0,0,0,0,28152,28296,28438,28576,28714
Buenos Aires,Ensenada,1,0,0,0,7,59995,60452,60903,61346,61783
Buenos Aires,Escobar,31,0,1,0,4,239461,243456,247385,251245,255073
Buenos Aires,Esteban Echeverría,0,0,0,0,0,344795,351564,358342,364641,370900
Buenos Aires,Exaltación de la Cruz,1,1,0,0,1,33991,34643,35287,35922,36545
